Concesionario;Departamento;Localidad;Direccion;Latitud;Longitud;Teléfono;Gasoil 50-S;Super 30-S;Premium 30-S;Gasoil 10-S
PETITMAR S.A.;COLONIA;COLONIA;Aparicio Saravia 991 y G. Moreno;-34.454354954864;-57.8401445095521;45226350;SI;SI;SI;SI
ILEM LTDA.;COLONIA;JUAN LACAZE;Avda. Artigas 670 y Roma;-34.4277493842574;-57.4442607155145;45865420;SI;SI;SI;NO
MARIMAR S.A.;ARTIGAS;BELLA UNION;Ruta 3 Km. 623 y camino J. Beninca;-30.2721014807402;-57.5862891003809;47792758;SI;SI;SI;NO
TIFELCAR S.A.;ARTIGAS;ARTIGAS;Telmo García da Rosa y By Pass Ruta 30;-30.4147515798389;-56.4839840212686;47726205;SI;SI;SI;NO
MOTTA Y CIA LTDA.;TREINTA Y TRES;CERRO CHATO;Julio A. Goday esq. Manuel Oribe ;-33.1004472247345;-55.1310837122059;44662016;SI;SI;SI;NO
ARCO LTDA.;CANELONES;PROGRESO;Ruta 5 Vieja Km. 29;-34.6632490845727;-56.2217502753415;43689020;SI;SI;NO;NO
B D B LTDA.;CANELONES;CANELONES;Ruta 11 Km.102.200;-34.513346984979;-56.2460278514791;43325062;SI;SI;SI;SI
ORBITAX S.A.;COLONIA;FLORENCIO SANCHEZ;Ruta 2 y 25 de Agosto;-33.8749510184692;-57.3726997718499;45369174;SI;SI;SI;SI
DISTANCIA S.A.;TACUAREMBO;TACUAREMBÓ;Ruta 5  Km. 388;-31.726555175719;-55.9719360309188;46323079;SI;SI;SI;SI
MARFALUB S.A.;RIVERA;RIVERA;Luis A. De Herrera 1255 (Ruta 5 Km. 500);-30.9150581448768;-55.5393813078989;46227770;SI;SI;SI;SI
RUBEN CARREIRA PEREIRA;RIVERA;VICHADERO;Bvar. Artigas S/N;-31.7799825189675;-54.6918381550108;46542019;SI;SI;NO;NO
BOSQUE ALTO S.A.;RIO NEGRO;FRAY BENTOS;Ruta 2 y Ruta 24;-33.16703134544582;-58.18110104265305;45602905;SI;SI;SI;SI
SEDALER S.A.;MONTEVIDEO;BELLA VISTA;Rbla. Baltasar Brum 3038;-34.8774578824822;-56.206678726344;22093809;SI;SI;SI;SI
ROBLE FUERTE S.A.;COLONIA;ROSARIO;Ruta 2 Km. 129.500;-34.32220951113354;-57.349849526492875;45522819;SI;SI;SI;SI
HDO;COLONIA;NUEVA HELVECIA;Avda. José Batlle y Ordóñez 652 Y Gral. Bion;-34.30337844223469;-57.23439306971584;45544250;SI;SI;SI;NO
ILANIR S.A;SORIANO;DOLORES;Ruta 21 Km. 320;-33.517785981638;-58.2039532914736;45343735;SI;SI;NO;SI
COMPAL S.R.L.;COLONIA;NUEVA PALMIRA;José Enrique Rodó S/N y Perú;-33.8720050985309;-58.411112422773;45446085;SI;SI;SI;SI
TONYTEC S.A;LAVALLEJA;MINAS;Roosvelt y Sarandí;-34.3764354786149;-55.2405629336132;44428526;SI;SI;SI;NO
MARIMAR S.A. (MELO);CERRO LARGO;MELO;Ejido y 18 de Julio;-32.3632924986013;-54.1663481968103;46423380;SI;SI;SI;SI
CARAGUATA SRL;TACUAREMBO;CARAGUATÁ;Ruta 26 Km. 355;-32.232640001147;-54.9667235081703;46309190;SI;SI;NO;NO
G Y F LTDA;CERRO LARGO;RIO BRANCO;Ruta 26 Km. 86.500;-32.5969426331827;-53.3879223754915;46752145;SI;SI;SI;NO
DIAZ EULOGIO S.R.L.;ROCHA;LASCANO;Ruta 15 Km. 132 - 18 de julio 1481 y Montaldo;-33.678527442696;-54.2111344879625;44567415;SI;SI;NO;NO
CARLOS SENATRE Y CIA.;FLORIDA;FLORIDA;18 de Julio 356 y Dr. Gonzaléz;-34.0996009423359;-56.2111266308118;43522664;SI;SI;NO;SI
